symbol,sector,industry
OLED,Technology,Electronic Components
UAL,Industrials,Airlines
CHD,Consumer Defensive,Household & Personal Products
SO,Utilities,Utilities - Regulated Electric
ACGL,Financial Services,Insurance - Diversified
TD,Financial Services,Banks - Diversified
TTC,Industrials,Tools & Accessories
SRE,Utilities,Utilities - Diversified
ITRI,Technology,Scientific & Technical Instruments
GOLF,Consumer Cyclical,Leisure
WFRD,Energy,Oil & Gas Equipment & Services
LLYVK,Communication Services,Entertainment
RMBS,Technology,Semiconductors
HAS,Consumer Cyclical,Leisure
LEN,Consumer Cyclical,Residential Construction
CCEP,Consumer Defensive,Beverages - Non-Alcoholic
FELE,Industrials,Specialty Industrial Machinery
ARCB,Industrials,Trucking
SBUX,Consumer Cyclical,Restaurants
RHP,Real Estate,REIT - Hotel & Motel
NEE,Utilities,Utilities - Regulated Electric
CABO,Communication Services,Telecom Services
SKYW,Industrials,Airlines
SHEL,Energy,Oil & Gas Integrated
SSB,Financial Services,Banks - Regional
TRI,Industrials,Specialty Business Services
NFLX,Communication Services,Entertainment
KKR,Financial Services,Asset Management
LOGI,Technology,Computer Hardware
SHAK,Consumer Cyclical,Restaurants
CASH,Financial Services,Banks - Regional
INCY,Healthcare,Biotechnology
PAYX,Technology,Software - Application
LLYVA,Communication Services,Entertainment
SR,Utilities,Utilities - Regulated Gas
MRVL,Technology,Semiconductors
IPAR,Consumer Defensive,Household & Personal Products
ACM,Industrials,Engineering & Construction
OKE,Energy,Oil & Gas Midstream
EBAY,Consumer Cyclical,Internet Retail
SIG,Consumer Cyclical,Luxury Goods
WIX,Technology,Software - Infrastructure
RRBI,Financial Services,Banks - Regional
UFPI,Basic Materials,Lumber & Wood Production
USFD,Consumer Defensive,Food Distribution
TTE,Energy,Oil & Gas Integrated
STN,Industrials,Engineering & Construction
TXT,Industrials,Aerospace & Defense
PFBC,Financial Services,Banks - Regional
ORLY,Consumer Cyclical,Auto Parts
ASTS,Technology,Communication Equipment
BNTX,Healthcare,Biotechnology
LEN-B,Consumer Cyclical,Residential Construction
TROW,Financial Services,Asset Management
MIRM,Healthcare,Biotechnology
VC,Consumer Cyclical,Auto Parts
PNR,Industrials,Specialty Industrial Machinery
MCY,Financial Services,Insurance - Property & Casualty
ANF,Consumer Cyclical,Apparel Retail
LRN,Consumer Defensive,Education & Training Services
RVTY,Healthcare,Diagnostics & Research
MSM,Industrials,Industrial Distribution
DIT,Consumer Defensive,Food Distribution
VLTO,Industrials,Pollution & Treatment Controls
TPB,Consumer Defensive,Tobacco
RIO,Basic Materials,Other Industrial Metals & Mining
MDT,Healthcare,Medical Devices
PFG,Financial Services,Asset Management
OPY,Financial Services,Capital Markets
ZBH,Healthcare,Medical Devices
GMED,Healthcare,Medical Devices
CHDN,Consumer Cyclical,Gambling
ULS,Industrials,Specialty Business Services
OTTR,Industrials,Conglomerates
NBR,Energy,Oil & Gas Drilling
SWX,Utilities,Utilities - Regulated Gas
ACLS,Technology,Semiconductor Equipment & Materials
KNF,Basic Materials,Building Materials
DCI,Industrials,Specialty Industrial Machinery
AU,Basic Materials,Gold
OGS,Utilities,Utilities - Regulated Gas
GGG,Industrials,Specialty Industrial Machinery
ITGR,Healthcare,Medical Devices
CL,Consumer Defensive,Household & Personal Products
IMKTA,Consumer Defensive,Grocery Stores
GHM,Industrials,Specialty Industrial Machinery
DOCN,Technology,Software - Infrastructure
SXT,Basic Materials,Specialty Chemicals
BLDR,Industrials,Building Products & Equipment
BYD,Consumer Cyclical,Resorts & Casinos
GEF-B,Consumer Cyclical,Packaging & Containers
CAVA,Consumer Cyclical,Restaurants
PFSI,Financial Services,Mortgage Finance
NDAQ,Financial Services,Financial Data & Stock Exchanges
NYT,Communication Services,Publishing
AAON,Industrials,Building Products & Equipment
STRA,Consumer Defensive,Education & Training Services
PNFP,Financial Services,Banks - Regional
AX,Financial Services,Banks - Regional
KTOS,Industrials,Aerospace & Defense
PAM,Industrials,Conglomerates
ALGT,Industrials,Airlines
QCRH,Financial Services,Banks - Regional
GH,Healthcare,Diagnostics & Research
PFGC,Consumer Defensive,Food Distribution
THO,Consumer Cyclical,Recreational Vehicles
BRC,Industrials,Security & Protection Services
FWONK,Communication Services,Entertainment
RYTM,Healthcare,Biotechnology
NHI,Real Estate,REIT - Healthcare Facilities
MLAB,Technology,Scientific & Technical Instruments
NGG,Utilities,Utilities - Regulated Electric
IR,Industrials,Specialty Industrial Machinery
LNW,,
MCB,Financial Services,Banks - Regional
HQY,Healthcare,Health Information Services
EW,Healthcare,Medical Devices
CRWV,Technology,Software - Infrastructure
VTR,Real Estate,REIT - Healthcare Facilities
SYY,Consumer Defensive,Food Distribution
AGO,Financial Services,Insurance - Specialty
OKTA,Technology,Software - Infrastructure
HXL,Industrials,Aerospace & Defense
CTVA,Basic Materials,Agricultural Inputs
WLDN,Industrials,Engineering & Construction
BKTI,Technology,Communication Equipment
GDDY,Technology,Software - Infrastructure
PEG,Utilities,Utilities - Regulated Electric
CSGS,Technology,Software - Infrastructure
WHLRL,,
KEN,Utilities,Utilities - Independent Power Producers
HSBC,Financial Services,Banks - Diversified
SE,Consumer Cyclical,Internet Retail
CROX,Consumer Cyclical,Footwear & Accessories
CP,Industrials,Railroads
EVRG,Utilities,Utilities - Regulated Electric
FTNT,Technology,Software - Infrastructure
EL,Consumer Defensive,Household & Personal Products
APGE,Healthcare,Biotechnology
BFAM,Consumer Cyclical,Personal Services
OTIS,Industrials,Specialty Industrial Machinery
BAH,Industrials,Consulting Services
CSCO,Technology,Communication Equipment
CRCA,,
QRVO,Technology,Semiconductors
NWPX,Basic Materials,Steel
CALM,Consumer Defensive,Farm Products
CCI,Real Estate,REIT - Specialty
GXLC,,
DNTH,Healthcare,Biotechnology
SEIC,Financial Services,Asset Management
CVLT,Technology,Software - Application
WFC,Financial Services,Banks - Diversified
CWST,Industrials,Waste Management
SMTC,Technology,Semiconductors
ZM,Technology,Software - Application
CMS-PB,Utilities,Utilities - Regulated Electric
LMB,Industrials,Building Products & Equipment
WH,Consumer Cyclical,Lodging
JBSS,Consumer Defensive,Packaged Foods
KYMR,Healthcare,Biotechnology
XEL,Utilities,Utilities - Regulated Electric
TDW,Energy,Oil & Gas Equipment & Services
CCB,Financial Services,Banks - Regional
NTR,Basic Materials,Agricultural Inputs
GM,Consumer Cyclical,Auto Manufacturers
ABCB,Financial Services,Banks - Regional
SCI,Consumer Cyclical,Personal Services
JJSF,Consumer Defensive,Packaged Foods
STRT,Consumer Cyclical,Auto Parts
SPYM,,
TMP,Financial Services,Banks - Regional
SGI,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MGEE,Utilities,Utilities - Regulated Electric
PLUS,Technology,Software - Application
ADC,Real Estate,REIT - Retail
SFM,Consumer Defensive,Grocery Stores
OMC,Communication Services,Advertising Agencies
DBD,Technology,Software - Application
HOLX,Healthcare,Medical Instruments & Supplies
FWONA,Communication Services,Entertainment
W,Consumer Cyclical,Internet Retail
FLS,Industrials,Specialty Industrial Machinery
SQM,Basic Materials,Specialty Chemicals
CMS,Utilities,Utilities - Regulated Electric
SKY,Consumer Cyclical,Residential Construction
TPC,Industrials,Engineering & Construction
PLNT,Consumer Cyclical,Leisure
USPH,Healthcare,Medical Care Facilities
UBER,Technology,Software - Application
SIGI,Financial Services,Insurance - Property & Casualty
TIGO,Communication Services,Telecom Services
INDB,Financial Services,Banks - Regional
QSR,Consumer Cyclical,Restaurants
SLMBP,Financial Services,Credit Services
KO,Consumer Defensive,Beverages - Non-Alcoholic
REG,Real Estate,REIT - Retail
BFH,Financial Services,Credit Services
MRCY,Industrials,Aerospace & Defense
SBR,Energy,Oil & Gas Midstream
HSIC,,
AIG,,
LNTH,,
ENLT,,
ALC,,
SNEX,,
BLLN,,
MNST,,
ANIP,,
UNM,,
BC,,
TAYD,,
KSPI,,
STRK,,
WMB,,
AWR,,
BCC,,
SFBS,,
BOH,,
SAFT,,
CFFI,,
TNK,,
NKTR,,
SYNA,,
RNA,,
CVS,,
STRD,,
TRNS,,
LPX,,
SPB,,
DEO,,
NCSM,,
MNDY,,
LB,,
DIOD,,
DRUG,,
SF,,
SOLS,,
CMPR,,
SEZL,,
ELF,,
GIB,,
KR,,
VIK,,
GFF,,
SWK,,
LASR,,
AGYS,,
LYB,,
SSNC,,
CIB,,
ALB-PA,,
APTV,,
GPN,,
DSGX,,
GEHC,,
CBT,,
TNL,,
STNG,,
EIX,,
VAC,,
BMA,,
COO,,
ECPG,,
FTI,,
INSW,,
KTB,,
WAL,,
IONS,,
LNT,,
SUNB,,
BBIO,,
NGVT,,
WBS,,
RBCAA,,
BNS,,
MET,,
HOOD,,
ICFI,,
BHP,,
WGS,,
TRU,,
CTA-PB,,
VVX,,
CQP,,
MMS,,
AXTI,,
NMM,,
BKH,,
TEAM,,
BSX,,
VOYA,,
MMSI,,
SRCE,,
BUD,,
KLIC,,
EMN,,
RKLB,,
ADM,,
IFF,,
IOSP,,
VIST,,
IBKR,,
EEFT,,
ANDE,,
IBOC,,
HLIO,,
VCTR,,
ES,,
TNC,,
CUBI,,
WPC,,
NVEC,,
TTAN,,
WMK,,
HL-PB,,
LMND,,
TRMB,,
DAL,,
RUSHA,,
SYF,,
BRO,,
WF,,
PTCT,,
PB,,
PVH,,
GEF,,
ESEA,,
SLGL,,
ATRO,,
TWN,,
NSIT,,
MTX,,
DXCM,,
PHIN,,
SOLV,,
SMG,,
MCHP,,
WRB,,
AUGO,,
EXPO,,
UCTT,,
EQT,,
NWE,,
DOX,,
AOS,,
ALNT,,
FLEX,,
CGON,,
SUN,,
DOO,,
AL,,
HPE-PC,,
FRPT,,
INBX,,
PSTG,,
SYBT,,
MO,,
SPRB,,
TARS,,
SU,,
WSFS,,
BBY,,
HHH,,
TRP,,
MPTI,,
CRC,,
CMC,,
UTMD,,
BA-PA,,
CNS,,
MANE,,
HWC,,
LIVN,,
SMBC,,
GRBK,,
RUSHB,,
SLF,,
ELS,,
FER,,
SAH,,
ANAB,,
KFY,,
GRVY,,
GSBC,,
BKR,,
ODC,,
GRC,,
THFF,,
WFG,,
ON,,
CCZ,,
CECO,,
HALO,,
PBH,,
SUNC,,
RDNT,,
BHRB,,
JOE,,
URBN,,
DINO,,
HBCP,,
WK,,
OXY,,
SHG,,
GSAT,,
UL,,
TRNO,,
NEN,,
SEI,,
MTH,,
MTDR,,
TSN,,
CE,,
CZFS,,
TEX,,
O,,
D,,
BHF,,
KIM-PN,,
CTSH,,
KRUS,,
MAS,,
BANR,,
CYTK,,
XYZ,,
CTBI,,
GAM,,
AVT,,
DLB,,
ESTA,,
CHEF,,
BHE,,
QVMT,,
RYAAY,,
FTDR,,
MPLX,,
BALL,,
IRON,,
FET,,
PSIX,,
CFG,,
TMHC,,
RRR,,
EMBJ,,
LOAR,,
FOUR-PA,,
CARR,,
APO-PA,,
KGS,,
STC,,
TXNM,,
EQR,,
JOYY,,
ATKR,,
FAF,,
ATMU,,
FR,,
MCHPP,,
PRLB,,
CSR,,
TFIN,,
CNXN,,
ASA,,
PKX,,
BTI,,
ESNT,,
RLI,,
CCS,,
CBU,,
FOXA,,
GIL,,
PARR,,
MDLZ,,
TS,,
BMY,,
MSGE,,
CAKE,,
OVV,,
PCOR,,
RBLX,,
LKFN,,
ARWR,,
HAE,,
NXG,,
HTO,,
DAR,,
FISV,,
ATLC,,
QXO-PB,,
SPSC,,
FHI,,
OKLO,,
NYAX,,
AA,,
PII,,
NEE-PS,,
COLM,,
APEI,,
FTV,,
CTA-PA,,
AMRZ,,
BLBD,,
MNPR,,
FTS,,
ZION,,
EDU,,
BWA,,
KNX,,
FCX,,
MAIN,,
CHMG,,
BMRN,,
MGA,,
ESP,,
COCO,,
PCVX,,
AMBA,,
GLNG,,
SWKS,,
XENE,,
DKL,,
MJSC,,
NJR,,
CRVL,,
EFSC,,
FBNC,,
ENB,,
MC,,
NOVTU,,
LVS,,
MEOH,,
WHR,,
PAHC,,
TBBK,,
FBIZ,,
YOU,,
NKE,,
SFST,,
CALX,,
PFIS,,
EMO,,
MP,,
ROL,,
HUT,,
LGN,,
SPG-PJ,,
GSK,,
KBH,,
BXP,,
ESTC,,
MAA-PI,,
BROS,,
ASO,,
OMF,,
SYM,,
NC,,
IIPR,,
OZ,,
ASTE,,
TECH,,
E,,
FND,,
MT,,
NWN,,
MKC-V,,
FBK,,
GBX,,
